,model,x_matrix,train_auc,test_auc
0,LR,bitome,0.9354940705187569,0.7545167978336295
1,LR,bitome,0.9256956093792168,0.778824997884404
2,LR,bitome,0.935707727640749,0.800023271557925
3,LR,bitome,0.9311699943377556,0.7820618600321572
4,LR,bitome,0.9351926779216384,0.7429028770114701
0,LR,seq_only,0.776891030898921,0.7482916560886859
1,LR,seq_only,0.7689225463166307,0.7843678598629094
2,LR,seq_only,0.7595857962332845,0.821105187441821
3,LR,seq_only,0.7750299649152514,0.7621329440636371
4,LR,seq_only,0.7800642744562918,0.739637882417792
0,LR,no_seq,0.9361701001741007,0.7543687061013794
1,LR,no_seq,0.9263398881309831,0.7782008970127783
2,LR,no_seq,0.9358433304581126,0.8000655834814251
3,LR,no_seq,0.9318605764905726,0.7815964288736565
4,LR,no_seq,0.935825373402725,0.7420866283630504
0,LR,shuffled,0.8646300225960597,0.4908394685622409
1,LR,shuffled,0.8841422757989321,0.4945840737919946
2,LR,shuffled,0.8749662646649486,0.44845349919607347
3,LR,shuffled,0.8684460843198163,0.4547156638740797
4,LR,shuffled,0.8653469313277482,0.4855301375962007
0,SVM,bitome,0.975965888945923,0.6991410679529491
1,SVM,bitome,0.9692075768239571,0.7079842599644579
2,SVM,bitome,0.973826010340211,0.7111153423034611
3,SVM,bitome,0.976708066317054,0.6971629855293222
4,SVM,bitome,0.9774622894981806,0.6962388958381919
0,SVM,seq_only,0.7766403310560879,0.74739252771431
1,SVM,seq_only,0.7687439474840054,0.7843149699585343
2,SVM,seq_only,0.7592411666340337,0.8206080223406956
3,SVM,seq_only,0.7747647125749454,0.761963696369637
4,SVM,seq_only,0.7799115548574087,0.7392244577776836
0,SVM,no_seq,0.976190129702441,0.698929508335449
1,SVM,no_seq,0.9688206126866026,0.7076034526529575
2,SVM,no_seq,0.9738193955686322,0.710893204705086
3,SVM,no_seq,0.976006239052553,0.7017220952864517
4,SVM,no_seq,0.9775852585258525,0.7000021201263595
0,SVM,shuffled,0.9176533700938239,0.5128310908013878
1,SVM,shuffled,0.9238024617533909,0.4761360751459761
2,SVM,shuffled,0.9256089558715359,0.45501184733857997
3,SVM,shuffled,0.9231158484635209,0.4616442413472117
4,SVM,shuffled,0.9202440075738345,0.48026162359276614
0,RF,bitome,1.0,0.741072184141491
1,RF,bitome,1.0,0.7848650249640349
2,RF,bitome,1.0,0.8167259033595667
3,RF,bitome,1.0,0.753935008885504
4,RF,bitome,1.0,0.7460724659189688
0,RF,seq_only,1.0,0.6856805872894981
1,RF,seq_only,0.9999937159670003,0.7316948040957942
2,RF,seq_only,0.9999937159670003,0.776042988914276
3,RF,seq_only,0.999995038921316,0.7121466954387746
4,RF,seq_only,0.9999957026952696,0.7094260817944749
0,RF,no_seq,1.0,0.7464034865024963
1,RF,no_seq,0.9999999999999999,0.8002612761276128
2,RF,no_seq,1.0,0.815953710755691
3,RF,no_seq,0.9999999999999999,0.7538609630193789
4,RF,no_seq,1.0,0.7590900417664893
0,RF,shuffled,1.0,0.48250401963273254
1,RF,shuffled,1.0,0.5431951849031057
2,RF,shuffled,1.0,0.5414551070491666
3,RF,shuffled,1.0,0.5326753829229076
4,RF,shuffled,1.0,0.5243284499756186
0,NN,bitome,1.0,0.681973004992807
1,NN,bitome,1.0,0.7098142506558349
2,NN,bitome,1.0,0.7143098925277143
3,NN,bitome,1.0,0.713051112803588
4,NN,bitome,1.0,0.6962123942586977
0,NN,seq_only,0.7840290309095047,0.7483233900313109
1,NN,seq_only,0.7768992993633944,0.7859334010324109
2,NN,seq_only,0.762910380428743,0.8216129305238216
3,NN,seq_only,0.7817552031793238,0.7592874672082592
4,NN,seq_only,0.7834776566598968,0.7425212542667543
0,NN,no_seq,1.0,0.681994160954557
1,NN,no_seq,1.0,0.7112740120165862
2,NN,no_seq,1.0,0.6953277058475078
3,NN,no_seq,1.0,0.711062452399086
4,NN,no_seq,1.0,0.6847690122331292
0,NN,shuffled,0.999964280233475,0.5064525683337565
1,NN,shuffled,0.9999966926142106,0.4959063214013709
2,NN,shuffled,0.999984786025369,0.4804095794194805
3,NN,shuffled,0.9999854475025268,0.4785795887281036
4,NN,shuffled,0.9999907442667344,0.4601999279157038
0,XGBoost,bitome,1.0,0.7380574595921131
1,XGBoost,bitome,1.0,0.7727638148430227
2,XGBoost,bitome,0.9998028798069545,0.8265211136498266
3,XGBoost,bitome,0.9999966926142106,0.7640475586020141
4,XGBoost,bitome,0.9999880997715157,0.7509487565458902
0,XGBoost,seq_only,0.9943999343814658,0.6739231615469239
1,XGBoost,seq_only,0.9953074810420647,0.7208999746128459
2,XGBoost,seq_only,0.992867953283837,0.7620906321401371
3,XGBoost,seq_only,0.9953739594964306,0.7122524752475248
4,XGBoost,seq_only,0.9964276175213677,0.700447346661861
0,XGBoost,no_seq,0.999913346492319,0.7372429550647372
1,XGBoost,no_seq,0.9999536965989491,0.749968266057375
2,XGBoost,no_seq,0.9999761868223166,0.8201108572395701
3,XGBoost,no_seq,0.9999960311370528,0.7569603114157569
4,XGBoost,no_seq,1.0,0.7388852375601584
0,XGBoost,shuffled,0.9998217319059538,0.4699585343149699
1,XGBoost,shuffled,0.9998118097485857,0.5404290429042904
2,XGBoost,shuffled,0.9997684829947452,0.5138254210036388
3,XGBoost,shuffled,0.9999007784263194,0.49226749598036723
4,XGBoost,shuffled,0.9998803365913514,0.49116967371255327
